gpcr,Name,Label
PF00001,114_Rho,Rho
PF03402,112_V1R,V1R
PF13853,111_Olf,Olf
PF05296,113_TAS2R,TAS2R
PF00002,115_Sec,Sec
PF01534,116_Friz,Friz
PF11710,118_Git3,Git3
PF11970,119_Git3-2,Git3-2
PF05462,120_cAMP,cAMP
PF02101,117_OA,OA
PF12430,123_ABA,ABA
PF02076,122_STE3,STE3
PF00003,121_Glu,Glu
PF06814,124_GOST,GOST
PF10192,126_ITR,ITR
PF02116,126_STE2,STE2
PF03619,127_Ostalpha,Ostalpha
PF06454,125_THH1,THH1
PF03006,221_Haem,Haem
PF04080,222_Per1,Per1
PF05875,223_Cera,Cera
PF13965,225_SID,SID
PF15100,224_TMEM187,TMEM187
PF10292,311_ab,ab
PF02117,312_Sra,Sra
PF02175,313_Srb,Srb
PF10316,314_Srbc,Srbc
PF10317,315_Srd,Srd
PF03125,316_Sre,Sre
PF02118,317_Srg,Srg
PF10318,318_Srh,Srh
PF10327,319_Sri,Sri
PF10319,320_Srj,Srj
PF10320,321_Srsx,Srsx
PF10321,322_Srt,Srt
PF10322,323_Sru,Sru
PF10323,324_Srv,Srv
PF10324,325_Srw,Srw
PF10328,326_Srx,Srx
PF10325,327_Srz,Srz
PF10326,328_Str,Str
PF03383,329_Xa,Xa
