Org,Org_Uq,Scientific_Name
HUMAN,HUMAN,Homo sapiens
PETMA,PETMA,Petromyzon marinus
ANOCA,ANOCA,Anolis carolinensis
XENLA,XENLA,Xenopus laevis
9CRUS,9CRUS,Daphnia magna
CHICK,CHICK,Gallus gallus
CALMI,CALMI,Callorhinchus milii
LIMPO,LIMPO,Limulus polyphemus
DANRE,DANRE,Danio rerio
SACKO,SACKO,Saccoglossus kowalevskii
DROME,DROME,Drosophila melanogaster
LATCH,LATCH,Latimeria chalumnae
CAPTE,CAPTE,Capitella teleta
HYDVU,HYDVU,Hydra vulgaris
HELRO,HELRO,Helobdella robusta
ACRMI,ACRMI,Acropora millepora
PARTE,PARTE,Paramecium tetraurelia
CAEEL,CAEEL,Caenorhabditis elegans
BRAFL,BRAFL,Branchiostoma floridae
SCHMA,SCHMA,Schistosoma mansoni
ACACF,ACACF,Acanthamoeba castellanii
TETTS,TETTS,Tetrahymena thermophila
AMPQE,AMPQE,Amphimedon queenslandica
APLCA,APLCA,Aplysia californica
STRPU,STRPU,Strongylocentrotus purpuratus
NEMVE,NEMVE,Nematostella vectensis
ANTEL,ANTEL,Anthopleura elegantissima
LOTGI,LOTGI,Lottia gigantea
TRIAD,TRIAD,Trichoplax adhaerens
9EUKA,9EUKA7,Haptolina brevifila
ALLM3,ALLM3,Allomyces macrogynus
DIALT,DIALT,Diacronema lutheri
MNELE,MNELE,Mnemiopsis leidyi
CHRCT,CHRCT,Chrysotila carterae
PHATC,PHATC,Phaeodactylum tricornutum
DICDI,DICDI,Dictyostelium discoideum
GALSU,GALSU,Galdieria sulphuraria
PORPP,PORPP,Porphyridium purpureum
MONBE,MONBE,Monosiga brevicollis
NEUCS,NEUCS,Neurospora crassa
THETB,THETB,Thecamonas trahens
PHYIN,PHYIN,Phytophthora infestans
DICPU,DICPU,Dictyostelium purpureum
9EUKA,9EUKA16,Planoprotostelium fungivorum
9RHOD,9RHOD1,Compsopogon caeruleus
9EUKA,9EUKA10,Lotharella oceanica
9EUKA,9EUKA2,Arcella intermedia
SALR5,SALR5,Salpingoeca rosetta
CAPO3,CAPO3,Capsaspora owczarzaki
9EUKA,9EUKA9,Lotharella globosa
9EUKA,9EUKA13,Paramoeba aestuarina
9EUKA,9EUKA1,Amorphochlora amoebiformis
9EUKA,9EUKA25,Vannella robusta
9EUKA,9EUKA19,Sphaeroforma arctica
BIGNA,BIGNA,Bigelowiella natans
ECTSI,ECTSI,Ectocarpus siliculosus
9EUKA,9EUKA15,Phaeocystis antarctica
9EUKA,9EUKA17,Prymnesium polylepis
9EUKA,9EUKA22,Stereomyxa ramosa
EMIHU,EMIHU,Emiliania huxleyi
9EUKA,9EUKA3,Calcidiscus leptoporus
9EUKA,9EUKA21,Spongospora subterranea
OSCCA,OSCCA,Oscarella carmela
USTMD,USTMD,Ustilago maydis
CRYNE,CRYNE,Cryptococcus neoformans
COPCI,COPCI,Coprinopsis cinerea
YEAST,YEAST,Saccharomyces cerevisiae
ARATH,ARATH,Arabidopsis thaliana
9EUKA,9EUKA4,Chrysochromulina tobinii
ENTHI,ENTHI,Entamoeba histolytica
9EUKA,9EUKA24,Tritrichomonas foetus
NANGC,NANGC,Nannochloropsis gaditana
AQUCA,AQUCA,Aquilegia coerulea
CHLRE,CHLRE,Chlamydomonas reinhardtii
PERM5,PERM5,Perkinsus marinus
TOXGO,TOXGO,Toxoplasma gondii
MICPS,MICPS,Micromonas pusilla
SORBI,SORBI,Sorghum bicolor
BRADI,BRADI,Brachypodium distachyon
9RHOD,9RHOD3,Rhodosorus marinus
9EUKA,9EUKA6,Cyanoptyche gloeocystis
PHYPA,PHYPA,Physcomitrium patens
ERYGU,ERYGU,Erythranthe guttata
GUITH,GUITH,Guillardia theta
NAEGR,NAEGR,Naegleria gruberi
CHLVA,CHLVA,Chlorella variabilis
CYAM1,CYAM1,Cyanidioschyzon merolae
OSTTA,OSTTA,Ostreococcus tauri
PLAFA,PLAFA,Plasmodium falciparum
LEIMA,LEIMA,Leishmania major
TRYCR,TRYCR,Trypanosoma cruzi
SELML,SELML,Selaginella moellendorffii
9EUKA,9EUKA14,Percolomonas cosmopolitus
9EUKA,9EUKA20,Spironucleus salmonicida
9EUKA,9EUKA5,Coccolithus braarudii
9EUKA,9EUKA23,Trepomonas sp.
9FLOR,9FLOR,Gracilariopsis chorda
9EUKA,9EUKA18,Sexangularia sp.
ENCCN,ENCCN,Encephalitozoon cuniculi
9RHOD,9RHOD4,Timspurckia oligopyrenoides
AURAN,AURAN,Aureococcus anophagefferens
9EUKA,9EUKA8,Haptolina ericina
9RHOD,9RHOD2,Erythrolobus australicus
PORUM,PORUM,Porphyra umbilicalis
9EUKA,9EUKA12,Palpitomonas bilix
HETPA,HETPA,Heterostelium pallidum
9FUNG,9FUNG,Podila verticillata
9EUKA,9EUKA11,Norrisiella sphaerica
NEOHI,NEOHI,Neoporphyra haitanensis
CHOCR,CHOCR,Chondrus crispus
CIOIN,CIOIN,Ciona intestinalis
MICPC,MICPC,Micromonas pusilla
ALLMA,ALLMA,Allomyces macrogynus
RHIOR,RHIOR,Rhizopus oryzae
HETPA,HETPA,Heterostelium pallidum
